"","Source","Target","Value"
"1",1,11,2
"2",1,25,5
"3",1,37,2
"4",1,47,2
"5",1,71,2
"6",1,74,1
"7",2,15,1
"8",2,17,1
"9",2,34,1
"10",2,77,1
"11",2,92,1
"12",2,95,1
"13",2,114,1
"14",3,14,1
"15",3,25,1
"16",3,36,1
"17",3,42,1
"18",3,55,1
"19",3,63,1
"20",3,65,1
"21",3,70,1
"22",3,93,1
"23",3,98,1
"24",3,109,1
"25",3,118,1
"26",5,78,1
"27",5,80,1
"28",5,83,1
"29",5,86,1
"30",5,127,1
"31",6,58,2
"32",6,61,1
"33",6,63,1
"34",6,69,2
"35",8,12,5
"36",8,16,5
"37",8,28,5
"38",8,29,5
"39",8,35,5
"40",8,87,5
"41",8,93,5
"42",8,126,5
"43",11,25,2
"44",11,71,4
"45",12,16,5
"46",12,28,5
"47",12,29,5
"48",12,35,5
"49",12,87,5
"50",12,93,5
"51",12,126,5
"52",14,25,1
"53",14,36,1
"54",14,42,1
"55",14,55,1
"56",14,63,1
"57",14,65,1
"58",14,70,1
"59",14,93,1
"60",14,98,1
"61",14,109,1
"62",14,118,1
"63",15,17,1
"64",15,34,1
"65",15,77,1
"66",15,92,1
"67",15,95,1
"68",15,114,1
"69",16,28,5
"70",16,29,5
"71",16,35,5
"72",16,87,5
"73",16,93,5
"74",16,126,5
"75",17,34,1
"76",17,77,1
"77",17,92,1
"78",17,95,1
"79",17,114,1
"80",18,56,1
"81",18,69,1
"82",18,96,1
"83",19,26,2
"84",19,67,2
"85",19,91,2
"86",19,105,2
"87",19,123,2
"88",22,41,3
"89",22,49,3
"90",22,57,3
"91",22,58,3
"92",22,64,3
"93",22,72,3
"94",22,97,3
"95",22,99,3
"96",22,112,3
"97",22,113,3
"98",23,27,1
"99",23,125,1
"100",25,36,1
"101",25,37,2
"102",25,42,1
"103",25,47,2
"104",25,55,1
"105",25,63,1
"106",25,65,1
"107",25,70,1
"108",25,71,2
"109",25,74,1
"110",25,93,1
"111",25,98,1
"112",25,109,1
"113",25,118,1
"114",26,67,2
"115",26,91,2
"116",26,105,2
"117",26,123,2
"118",27,125,1
"119",28,29,5
"120",28,35,5
"121",28,87,5
"122",28,93,5
"123",28,126,5
"124",29,35,5
"125",29,87,5
"126",29,93,5
"127",29,126,5
"128",31,32,1
"129",31,33,1
"130",31,35,1
"131",31,66,1
"132",31,87,1
"133",31,94,1
"134",32,33,1
"135",32,35,1
"136",32,66,1
"137",32,87,1
"138",32,94,1
"139",33,35,1
"140",33,66,1
"141",33,87,1
"142",33,94,1
"143",34,77,1
"144",34,92,1
"145",34,95,1
"146",34,114,1
"147",35,66,1
"148",35,87,6
"149",35,93,5
"150",35,94,1
"151",35,104,1
"152",35,126,5
"153",36,42,1
"154",36,55,1
"155",36,63,1
"156",36,65,1
"157",36,70,1
"158",36,93,1
"159",36,98,1
"160",36,109,1
"161",36,118,1
"162",37,47,2
"163",37,74,1
"164",37,75,2
"165",40,76,11
"166",40,106,15
"167",41,49,3
"168",41,57,3
"169",41,58,3
"170",41,64,3
"171",41,72,3
"172",41,97,3
