"","ID_mps","names_mps","factions","region_name","weight_name"
"1",1,"Алєксєєв Сергій Олегович","ЄС","",5
"2",2,"Андрійович Зіновій Мирославович","Слуга Народу","Івано-Франківська область",2
"3",3,"Арістов Юрій Юрійович","Слуга Народу","",1
"4",4,"Арсенюк Олег Олексійович","Слуга Народу","Черкаська область",1
"5",5,"Бакумов Олександр Сергійович","Слуга Народу","Харківська область",1
"6",6,"Батенко Тарас Іванович","За майбутнє","Львівська область",4
"7",7,"Безгін Віталій Юрійович","Слуга Народу","",1
"8",8,"Безугла Мар'яна Володимирівна","Слуга Народу","м. Київ",5
"9",9,"Бєлькова Ольга Валентинівна","Позафракційні","",2
"10",10,"Богданець Андрій Володимирович","Слуга Народу","Тернопільська область",1
"11",11,"Бондар Віктор Васильович","За майбутнє","Хмельницька область",4
"12",12,"Бондар Ганна Вячеславівна","Слуга Народу","м. Київ",7
"13",13,"Бондаренко Олег Володимирович","Слуга Народу","",2
"14",14,"Борт Віталій Петрович","ОПЗЖ","",1
"15",15,"Бужанський Максим Аркадійович","Слуга Народу","Дніпропетровська область",2
"16",16,"Буймістер Людмила Анатоліївна","Слуга Народу","м. Київ",5
"17",17,"Василевська-Смаглюк Ольга Михайлівна","Слуга Народу","Київська область",1
"18",18,"Васильченко Галина Іванівна","ГОЛОС","Львівська область",1
"19",19,"Вельможний Сергій Анатолійович","ДОВІРА","Луганська область",2
"20",20,"Веніславський Федір Володимирович","Слуга Народу","",1
"21",21,"Власенко Сергій Володимирович","Батьківщина","",1
"22",22,"Геращенко Ірина Володимирівна","ЄС","",3
"23",23,"Герус Андрій Михайлович","Слуга Народу","",10
"24",24,"Гетманцев Данило Олександрович","Слуга Народу","",11
"25",25,"Гончаренко Олексій Олексійович","ЄС","Одеська область",7
"26",26,"Горват Роберт Іванович","ДОВІРА","Закарпатська область",2
"27",27,"Горобець Олександр Сергійович","Слуга Народу","Київська область",1
"28",28,"Грищук Роман Павлович","Слуга Народу","м. Київ",5
"29",29,"Гурін Дмитро Олександрович","Слуга Народу","м. Київ",5
"30",30,"Діденко Юлія Олександрівна","Слуга Народу","",6
"31",31,"Дмитрієва Оксана Олександрівна","Слуга Народу","",1
"32",32,"Довгий Олесь Станіславович","Позафракційні","Кіровоградська область",1
"33",33,"Дубіль Валерій Олександрович","Батьківщина","",1
"34",34,"Дубінський Олександр Анатолійович","Слуга Народу","Київська область",1
"35",35,"Дубнов Артем Васильович","Слуга Народу","м. Київ",7
"36",36,"Дунаєв Сергій Володимирович","ОПЗЖ","",1
"37",37,"Дунда Олег Андрійович","Слуга Народу","Київська область",4
"38",38,"Железняк Ярослав Іванович","ГОЛОС","",3
"39",39,"Жупанин Андрій Вікторович","Слуга Народу","",4
"40",40,"Заблоцький Мар'ян Богданович","Слуга Народу","",16
"41",41,"Забродський Михайло Віталійович","ЄС","",3
"42",42,"Забуранна Леся Валентинівна","Слуга Народу","м. Київ",2
"43",43,"Загоруйко Аліна Леонідівна","Слуга Народу","",1
"44",44,"Задорожний Андрій Вікторович","Слуга Народу","",1
"45",45,"Заремський Максим Валентинович","Слуга Народу","Чернівецька область",1
"46",46,"Захарченко Володимир Васильович","Слуга Народу","Дніпропетровська область",2
"47",47,"Зінкевич Яна Вадимівна","ЄС","",2
"48",48,"Івченко Вадим Євгенович","Батьківщина","",5
"49",49,"Іонова Марія Миколаївна","ЄС","",3
"50",50,"Іонушас Сергій Костянтинович","Слуга Народу","",1
"51",51,"Кабаченко Володимир Вікторович","Батьківщина","",1
"52",52,"Кальченко Сергій Віталійович","Слуга Народу","",42
